Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,Chip Globals
Primitives/Primitives,33,52,12,1
UART_TX_1/Primitives,38,28,0,0
uart_new_1/Primitives,49,39,0,0
